id,symbol,name,image,current_price,market_cap,market_cap_rank,fully_diluted_valuation,total_volume,high_24h,low_24h,price_change_24h,price_change_percentage_24h,market_cap_change_24h,market_cap_change_percentage_24h,circulating_supply,total_supply,max_supply,ath,ath_change_percentage,ath_date,atl,atl_change_percentage,atl_date,roi,last_updated,price_change_percentage_1h_in_currency,price_change_percentage_24h_in_currency,price_change_percentage_7d_in_currency
crypto-com-chain,cro,Cronos,https://coin-images.coingecko.com/coins/images/7310/large/cro_token_logo.png?1696507599,0.103605,3870376750,40,10177061538,14676207.0,0.105211,0.103035,-0.001259675550565359,-1.20124,-46425178.89321709,-1.18528,37353532281.87356,98220204704.60904,100000000000.0,0.965407,-89.27125,2021-11-24T15:53:54.855Z,0.0121196,754.61706,2019-02-08T00:00:00.000Z,,2025-12-09T14:06:32.582Z,-0.061554759662939794,-1.2012414487911538,-4.318305975142453
paypal-usd,pyusd,PayPal USD,https://coin-images.coingecko.com/coins/images/31212/large/PYUSD_Logo_%282%29.png?1696530039,0.99991,3827419196,41,3827419196,87370457.0,1.0,0.998905,0.00098717,0.09882,12057535.0,0.31603,3827883560.07748,3827883560.07748,,1.021,-2.04039,2023-10-23T22:44:57.056Z,0.959426,4.21963,2024-12-05T22:31:13.430Z,,2025-12-09T14:06:25.725Z,-0.008892000147001856,0.09882299167444016,0.020293897358257026
mantle,mnt,Mantle,https://coin-images.coingecko.com/coins/images/30980/large/Mantle-Logo-mark.png?1739213200,1.11,3595636991,42,6874512793,126057366.0,1.13,1.088,-0.020504833322642968,-1.8189,-70610615.09083652,-1.92596,3252944055.636841,6219316794.89,6219316794.89,2.86,-61.23499,2025-10-09T01:04:46.659Z,0.307978,259.36483,2023-10-18T02:50:46.942Z,,2025-12-09T14:06:24.179Z,-0.09561597232285522,-1.8189013132711995,11.314202582121515
ethena-staked-usde,susde,Ethena Staked USDe,https://coin-images.coingecko.com/coins/images/33669/large/sUSDe-Symbol-Color.png?1716307680,1.21,3584681917,43,3584681917,73992858.0,1.21,1.21,0.00019647,0.01627,-56269549.90590525,-1.54546,2967645405.44297,2967645405.44297,,1.29,-6.41797,2025-01-29T17:52:32.991Z,1.012,19.34249,2024-04-03T14:23:03.162Z,,2025-12-09T14:06:33.374Z,0.01209860015975746,0.0162672281556957,0.11453962239444201
polkadot,dot,Polkadot,https://coin-images.coingecko.com/coins/images/12171/large/polkadot.png?1696512008,2.13,3493752521,44,3493803674,161171140.0,2.16,2.09,-0.01079855279366626,-0.50544,-17814775.75546074,-0.50732,1643633540.497753,1643657605.357181,,54.98,-96.13753,2021-11-04T14:10:09.301Z,1.98,7.37972,2025-12-01T15:50:20.422Z,,2025-12-09T14:06:26.200Z,0.08508790561069529,-0.505442909253918,0.7469608965578369
uniswap,uni,Uniswap,https://coin-images.coingecko.com/coins/images/12504/large/uniswap-logo.png?1720676669,5.51,3466919316,45,5503873214,232244856.0,5.72,5.43,-0.16377587376807323,-2.88724,-101243018.80508089,-2.8374,629905374.0113912,1000000000.0,1000000000.0,44.92,-87.76277,2021-05-03T05:25:04.822Z,1.03,433.57432,2020-09-17T01:20:38.214Z,,2025-12-09T14:06:29.131Z,-0.5691452143326938,-2.8872384596809053,-0.5899298958202313
bittensor,tao,Bittensor,https://coin-images.coingecko.com/coins/images/28452/large/ARUsPeNQ_400x400.jpeg?1696527447,306.6,2945361735,46,6444663134,141156440.0,307.15,287.67,9.44,3.1766,94787119.0,3.32519,9597491.0,21000000.0,21000000.0,757.6,-59.54124,2024-03-07T18:45:36.466Z,30.83,894.21945,2023-05-14T08:57:53.732Z,,2025-12-09T14:06:31.501Z,1.0142374342394818,3.176603305525093,16.334386641287384
aave,aave,Aave,https://coin-images.coingecko.com/coins/images/12645/large/aave-token-round.png?1720472354,187.97,2850778915,47,3008284926,357265162.0,199.03,187.79,-8.39414272771495,-4.27474,-125887303.91797686,-4.22914,15162281.4210017,16000000.0,16000000.0,661.69,-71.60383,2021-05-18T21:19:59.514Z,26.02,622.02877,2020-11-05T09:20:11.928Z,,2025-12-09T14:06:29.709Z,-0.955310401550977,-4.2747446683617785,9.735481024108779
usd1-wlfi,usd1,USD1,https://coin-images.coingecko.com/coins/images/54977/large/USD1_1000x1000_transparent.png?1749297002,0.99903,2727193889,48,2727193889,246165297.0,0.999552,0.99854,0.00024347,0.02438,-1546998.0884194374,-0.05669,2729973392.721158,2729973392.713628,,1.025,-2.49959,2025-05-12T12:36:39.412Z,0.989633,0.96771,2025-10-01T08:51:32.103Z,,2025-12-09T14:06:29.023Z,0.008172308963110601,0.024376182069940962,-0.010018243102074895
canton-network,cc,Canton,https://coin-images.coingecko.com/coins/images/70468/large/Canton-Ticker_%281%29.png?1762826299,0.074359,2669944507,49,2669944507,13330576.0,0.076988,0.071698,-0.000437992316534963,-0.58557,8742019.0,0.3285,35906575280.22086,35906575280.22086,,0.159483,-53.49935,2025-11-10T09:46:17.203Z,0.059024,25.64467,2025-12-06T10:32:09.784Z,,2025-12-09T14:06:31.841Z,1.0104450665788094,-0.5855713754259542,-0.13258392258693283
bitget-token,bgb,Bitget Token,https://coin-images.coingecko.com/coins/images/11610/large/Bitget_logo.png?1736925727,3.57,2498270714,50,3283450443,81817393.0,3.58,3.54,0.0050007,0.14026,4609381.0,0.18484,699992035.9787906,919992035.9787906,2000000000.0,8.45,-57.7574,2024-12-27T11:41:24.992Z,0.0142795,24898.32682,2020-06-25T04:17:05.895Z,,2025-12-09T14:06:31.370Z,-0.11146445343611601,0.1402587524095066,2.8078981956366733
okb,okb,OKB,https://coin-images.coingecko.com/coins/images/4463/large/WeChat_Image_20220118095654.png?1696505053,111.8,2346896387,51,2346896387,43059633.0,112.65,108.74,0.262391,0.23525,9090792.0,0.38886,21000000.0,21000000.0,21000000.0,255.5,-56.3098,2025-08-22T01:50:26.131Z,0.580608,19126.30928,2019-01-14T00:00:00.000Z,,2025-12-09T14:06:25.318Z,-0.19278083712824734,0.23524846837955685,11.30208025369873
